"","Filename","Date","Hour","Foraging","Total_Events","Year","Month","Day"
"126","Potomac 2016 03 28 POD2591 file01.CP128",2016-06-21,20,TRUE,3,"2016","06","21"
"127","Potomac 2016 03 28 POD2591 file01.CP129",2016-06-22,2,FALSE,4,"2016","06","22"
"128","Potomac 2016 03 28 POD2591 file01.CP130",2016-06-22,2,TRUE,7,"2016","06","22"
"129","Potomac 2016 03 28 POD2591 file01.CP131",2016-06-22,3,FALSE,2,"2016","06","22"
"130","Potomac 2016 03 28 POD2591 file01.CP132",2016-06-22,3,TRUE,2,"2016","06","22"
"131","Potomac 2016 03 28 POD2591 file01.CP133",2016-06-22,7,FALSE,18,"2016","06","22"
"132","Potomac 2016 03 28 POD2591 file01.CP134",2016-06-22,7,TRUE,14,"2016","06","22"
"133","Potomac 2016 03 28 POD2591 file01.CP135",2016-06-22,19,FALSE,7,"2016","06","22"
"134","Potomac 2016 03 28 POD2591 file01.CP136",2016-06-22,19,TRUE,13,"2016","06","22"
"135","Potomac 2016 03 28 POD2591 file01.CP137",2016-06-22,23,FALSE,10,"2016","06","22"
"136","Potomac 2016 03 28 POD2591 file01.CP138",2016-06-23,0,FALSE,9,"2016","06","23"
"137","Potomac 2016 03 28 POD2591 file01.CP139",2016-06-23,0,TRUE,5,"2016","06","23"
"138","Potomac 2016 03 28 POD2591 file01.CP140",2016-06-23,9,FALSE,2,"2016","06","23"
"139","Potomac 2016 03 28 POD2591 file01.CP141",2016-06-23,9,TRUE,1,"2016","06","23"
"140","Potomac 2016 03 28 POD2591 file01.CP142",2016-06-23,13,FALSE,2,"2016","06","23"
"141","Potomac 2016 03 28 POD2591 file01.CP143",2016-06-23,13,TRUE,3,"2016","06","23"
"142","Potomac 2016 03 28 POD2591 file01.CP144",2016-06-23,17,FALSE,2,"2016","06","23"
"143","Potomac 2016 03 28 POD2591 file01.CP145",2016-06-24,2,FALSE,5,"2016","06","24"
"144","Potomac 2016 03 28 POD2591 file01.CP146",2016-06-24,2,TRUE,1,"2016","06","24"
"145","Potomac 2016 03 28 POD2591 file01.CP147",2016-06-24,7,FALSE,3,"2016","06","24"
"146","Potomac 2016 03 28 POD2591 file01.CP148",2016-06-24,10,FALSE,7,"2016","06","24"
"147","Potomac 2016 03 28 POD2591 file01.CP149",2016-06-24,10,TRUE,2,"2016","06","24"
"148","Potomac 2016 03 28 POD2591 file01.CP150",2016-06-24,12,FALSE,4,"2016","06","24"
"149","Potomac 2016 03 28 POD2591 file01.CP151",2016-06-24,16,FALSE,1,"2016","06","24"
"150","Potomac 2016 03 28 POD2591 file01.CP152",2016-06-24,17,FALSE,1,"2016","06","24"
"151","Potomac 2016 03 28 POD2591 file01.CP153",2016-06-24,17,TRUE,5,"2016","06","24"
"152","Potomac 2016 03 28 POD2591 file01.CP154",2016-06-25,1,FALSE,3,"2016","06","25"
"153","Potomac 2016 03 28 POD2591 file01.CP155",2016-06-25,8,FALSE,3,"2016","06","25"
"154","Potomac 2016 03 28 POD2591 file01.CP156",2016-06-25,10,FALSE,2,"2016","06","25"
"155","Potomac 2016 03 28 POD2591 file01.CP157",2016-06-26,0,FALSE,3,"2016","06","26"
"156","Potomac 2016 03 28 POD2591 file01.CP158",2016-06-26,0,TRUE,1,"2016","06","26"
"157","Potomac 2016 03 28 POD2591 file01.CP159",2016-06-26,1,FALSE,13,"2016","06","26"
"158","Potomac 2016 03 28 POD2591 file01.CP160",2016-06-26,16,FALSE,14,"2016","06","26"
"159","Potomac 2016 03 28 POD2591 file01.CP161",2016-06-26,17,FALSE,9,"2016","06","26"
"160","Potomac 2016 03 28 POD2591 file01.CP162",2016-06-26,17,TRUE,1,"2016","06","26"
"161","Potomac 2016 03 28 POD2591 file01.CP163",2016-06-26,20,FALSE,3,"2016","06","26"
"162","Potomac 2016 03 28 POD2591 file01.CP164",2016-06-26,21,FALSE,2,"2016","06","26"
"163","Potomac 2016 03 28 POD2591 file01.CP165",2016-06-27,0,FALSE,5,"2016","06","27"
"164","Potomac 2016 03 28 POD2591 file01.CP166",2016-06-27,13,FALSE,3,"2016","06","27"
"165","Potomac 2016 03 28 POD2591 file01.CP167",2016-06-27,16,FALSE,9,"2016","06","27"
"166","Potomac 2016 03 28 POD2591 file01.CP168",2016-06-27,16,TRUE,3,"2016","06","27"
"167","Potomac 2016 03 28 POD2591 file01.CP169",2016-06-28,1,FALSE,17,"2016","06","28"
"168","Potomac 2016 03 28 POD2591 file01.CP170",2016-06-28,1,TRUE,13,"2016","06","28"
"169","Potomac 2016 03 28 POD2591 file01.CP171",2016-06-28,2,FALSE,21,"2016","06","28"
"170","Potomac 2016 03 28 POD2591 file01.CP172",2016-06-28,2,TRUE,1,"2016","06","28"
"171","Potomac 2016 03 28 POD2591 file01.CP173",2016-06-28,3,FALSE,5,"2016","06","28"
"172","Potomac 2016 03 28 POD2591 file01.CP174",2016-06-28,9,FALSE,1,"2016","06","28"
"173","Potomac 2016 03 28 POD2591 file01.CP175",2016-06-28,23,FALSE,13,"2016","06","28"
"174","Potomac 2016 03 28 POD2591 file01.CP176",2016-06-28,23,TRUE,5,"2016","06","28"
"175","Potomac 2016 03 28 POD2591 file01.CP177",2016-06-29,0,FALSE,21,"2016","06","29"
"176","Potomac 2016 03 28 POD2591 file01.CP178",2016-06-29,0,TRUE,8,"2016","06","29"
"177","Potomac 2016 03 28 POD2591 file01.CP179",2016-06-29,1,FALSE,16,"2016","06","29"
"178","Potomac 2016 03 28 POD2591 file01.CP180",2016-06-29,1,TRUE,3,"2016","06","29"
"179","Potomac 2016 03 28 POD2591 file01.CP181",2016-06-29,2,FALSE,2,"2016","06","29"
"180","Potomac 2016 03 28 POD2591 file01.CP182",2016-06-29,5,FALSE,16,"2016","06","29"
"181","Potomac 2016 03 28 POD2591 file01.CP183",2016-06-29,5,TRUE,4,"2016","06","29"
"182","Potomac 2016 03 28 POD2591 file01.CP184",2016-06-29,6,FALSE,3,"2016","06","29"
"183","Potomac 2016 03 28 POD2591 file01.CP185",2016-06-29,15,FALSE,10,"2016","06","29"
"184","Potomac 2017 01 2017 05 10 POD2969 file01.CP3",2017-05-19,9,FALSE,3,"2017","05","19"
"185","Potomac 2017 01 2017 05 10 POD2969 file01.CP4",2017-05-19,10,FALSE,12,"2017","05","19"
"186","Potomac 2017 01 2017 05 10 POD2969 file01.CP5",2017-05-19,10,TRUE,9,"2017","05","19"
"187","Potomac 2017 01 2017 05 10 POD2969 file01.CP6",2017-05-20,4,FALSE,1,"2017","05","20"
"188","Potomac 2017 01 2017 05 10 POD2969 file01.CP7",2017-05-21,0,FALSE,6,"2017","05","21"
"189","Potomac 2017 01 2017 05 10 POD2969 file01.CP8",2017-05-21,6,FALSE,5,"2017","05","21"
"190","Potomac 2017 01 2017 05 10 POD2969 file01.CP9",2017-05-21,6,TRUE,3,"2017","05","21"
"191","Potomac 2017 01 2017 05 10 POD2969 file01.CP10",2017-05-21,7,FALSE,5,"2017","05","21"
"192","Potomac 2017 01 2017 05 10 POD2969 file01.CP11",2017-05-21,13,FALSE,2,"2017","05","21"
"193","Potomac 2017 01 2017 05 10 POD2969 file01.CP12",2017-05-21,13,TRUE,1,"2017","05","21"
"194","Potomac 2017 01 2017 05 10 POD2969 file01.CP13",2017-05-22,4,FALSE,1,"2017","05","22"
