Filename,Date,Hour,Foraging,Total_Events
Potomac 2019 05 31 POD2807 file01.CP337,7/18/2019,23,TRUE,21
Potomac 2019 05 31 POD2807 file01.CP338,7/19/2019,0,FALSE,8
Potomac 2019 05 31 POD2807 file01.CP339,7/19/2019,0,TRUE,3
Potomac 2019 05 31 POD2807 file01.CP340,7/19/2019,3,FALSE,8
Potomac 2019 05 31 POD2807 file01.CP341,7/19/2019,3,TRUE,2
Potomac 2019 05 31 POD2807 file01.CP342,7/19/2019,10,FALSE,1
Potomac 2019 05 31 POD2807 file01.CP343,7/19/2019,13,FALSE,11
Potomac 2019 05 31 POD2807 file01.CP344,7/19/2019,13,TRUE,15
Potomac 2019 05 31 POD2807 file01.CP345,7/19/2019,23,FALSE,2
Potomac 2019 05 31 POD2807 file01.CP346,7/19/2019,23,TRUE,1
Potomac 2019 05 31 POD2807 file01.CP347,7/20/2019,0,FALSE,20
Potomac 2019 05 31 POD2807 file01.CP348,7/20/2019,0,TRUE,9
Potomac 2019 05 31 POD2807 file01.CP349,7/20/2019,1,FALSE,29
